the_geom,the_geom_webmercator,collection_date,count,test_result
,,05.03.20,9,negative
,,07.03.20,6,negative
,,08.03.20,9,negative
,,10.03.20,20,negative
,,11.03.20,42,negative
,,11.03.20,6,positive
,,12.03.20,71,negative
,,13.03.20,12,positive
,,13.03.20,117,negative
,,14.03.20,14,positive
,,14.03.20,107,negative
,,15.03.20,15,positive
,,15.03.20,78,negative
,,16.03.20,35,positive
,,16.03.20,225,negative
,,17.03.20,69,positive
,,17.03.20,323,negative
,,18.03.20,308,negative
,,18.03.20,72,positive
,,19.03.20,103,positive
,,19.03.20,154,negative
,,20.03.20,137,positive
,,20.03.20,153,negative
,,21.03.20,94,positive
,,21.03.20,189,negative
,,22.03.20,237,negative
,,22.03.20,84,positive
,,23.03.20,477,negative
,,23.03.20,169,positive
,,24.03.20,178,positive
,,24.03.20,618,negative
,,25.03.20,703,negative
,,25.03.20,224,positive
,,26.03.20,622,negative
,,26.03.20,318,positive
,,27.03.20,766,negative
,,27.03.20,320,positive
,,28.03.20,201,positive
,,28.03.20,485,negative
,,29.03.20,216,positive
,,29.03.20,615,negative
,,30.03.20,607,negative
,,30.03.20,457,positive
,,31.03.20,477,positive
,,31.03.20,853,negative
,,01.04.20,985,negative
,,01.04.20,446,positive
,,02.04.20,366,positive
,,02.04.20,812,negative
,,03.04.20,524,positive
,,03.04.20,1038,negative
,,04.04.20,307,positive
,,04.04.20,946,negative
,,05.04.20,252,positive
,,05.04.20,760,negative
,,06.04.20,581,positive
,,06.04.20,1102,negative
,,07.04.20,803,negative
,,07.04.20,600,positive
,,08.04.20,551,positive
,,08.04.20,1047,negative
,,09.04.20,916,negative
,,09.04.20,437,positive
,,10.04.20,509,positive
,,10.04.20,990,negative
,,11.04.20,222,positive
,,11.04.20,631,negative
,,12.04.20,719,negative
,,12.04.20,204,positive
,,13.04.20,515,negative
,,13.04.20,453,positive
,,14.04.20,611,positive
,,14.04.20,751,negative
,,15.04.20,538,positive
,,15.04.20,1056,negative
,,16.04.20,531,positive
,,16.04.20,939,negative
,,17.04.20,974,negative
,,17.04.20,472,positive
,,18.04.20,258,positive
,,18.04.20,571,negative
